EnrollmentID,NAME OF STUDENT,IA-1 (30),IA-2 (30),IA-3 (30),Assignment %
23cse0001,Prerana Joshi,20,17,21,100
23cse0002,Charan Sharma,19,18,19,79
23cse0003,Jyothi Iyer,30,24,26,71
23cse0004,Omkar Chopra,24,AB,24,76
23cse0005,Anita Sinha,27,26,28,96
23cse0006,Hemant Rao,28,23,27,100
23cse0007,Dinesh Wadhwa,25,21,22,76
23cse0008,Sagar Rao,30,26,30,82
23cse0009,Ajay Nair,25,26,,85
23cse0010,Pooja Patel,21,25,26,100
23cse0011,Prakash Naidu,24,25,20,94
23cse0012,Anita Nambiar,28,30,26,100
23cse0013,Nitin Kulkarni,22,22,24,96
23cse0014,Ayesha Trivedi,27,22,,87
23cse0015,Pranav Jain,22,22,20,65
23cse0016,Umesh Mishra,25,21,23,100
23cse0017,Umesh Kaur,22,25,19,80
23cse0018,Rukhsar Yadav,AB,22,21,71
23cse0019,Meera Kulkarni,18,15,23,65
23cse0020,Sushma Rathore,22,24,21,90
23cse0021,Aishwarya Khanna,14,13,19,53
23cse0022,Ajay Rao,25,23,24,86
23cse0023,Tejaswi Yadav,17,24,26,59
23cse0024,Charan Bose,20,22,16,93
23cse0025,Thomas Nair,21,24,27,94
23cse0026,Rukhsar Yadav,24,24,22,88
23cse0027,Nandini Khanna,22,23,23,81
23cse0028,Umesh Kulkarni,21,22,20,94
23cse0029,Varun Reddy,30,27,27,93
23cse0030,Hemant Sharma,26,19,21,65
 23cse0031 ,Rekha Bose,24,21,18,97
 23cse0032 ,Aishwarya Kumar,24,20,AB,64
23cse0033,Pallavi Dubey,23,AB,30,100
 23cse0034 ,Pallavi Nambiar,23,23,18,53
23cse0035,Vikram Sequeira,13,13,16,82
23cse0036,Sneha Raut,23,16,18,53
23cse0037,Vikram Sinha,24,23,24,76
23cse0038,Vivek Vaidya,30,27,25,85
 23cse0039 ,Bindu Sharma,20,23,23,100
 23cse0040 ,Lakshmi Joshi,15,21,21,61
23cse0041,Anita Panicker,28,30,23,98
23cse0042,Prerana Saxena,26,30,30,100
23cse0043,Anil Naidu,17,16,,74
23cse0044,Ayesha Bose,28,24,20,100
 23cse0045 ,Meera Acharya,22,22,25,75
 23cse0046 ,Kavya Kamath,22,22,23,90
23cse0047,Harini Kaur,25,23,21,86
23cse0048,Kunal Vaidya,24,21,27,80
 23cse0049 ,Vishal Dutta,25,16,19,67
23cse0050,Irfan Malhotra,24,22,18,67
23cse0051,Nithya Gowda,28,24,24,98
 23cse0052 ,Rekha Bhandari,19,20,19,70
23cse0053,Pooja Shetty,13,15,19,33
23cse0054,Gayatri Bose,24,29,27,100
23cse0055,Ananya Dutta,17,6,14,40
23cse0056,Ajay Khanna,20,24,22,64
23cse0057,Gaurav Pandey,23,17,,66
23cse0058,Rakesh Sequeira,24,23,19,74
23cse0059,Girish Gowda,30,21,30,100
 23cse0060 ,Lakshmi Chowdary,23,23,21,66
 23cse0061 ,Aditya Naidu,25,20,26,80
23cse0062,Girish Bhandari,28,23,24,69
23cse0063,Gopal Panicker,22,22,20,70
23cse0064,Rekha Chauhan,23,20,23,87
23cse0065,Madhuri Dutta,20,28,15,91
23cse0066,Rohan Chauhan,17,20,15,66
23cse0067,Chetan Joshi,18,25,23,75
23cse0068,Irfan Gowda,20,20,20,75
23cse0069,Lokesh Verma,20,21,30,70
23cse0070,Keerthi Thakur,28,26,,83
23cse0071,Ishita Oberoi,21,18,,77
 23cse0072 ,Tarun Pandey,23,30,28,96
23cse0073,Kunal Kaur,21,20,25,75
23cse0074,Pranav Bajaj,28,25,23,74
 23cse0075 ,Ravi Naidu,25,26,26,75
23cse0076,Anil Varma,21,25,28,96
23cse0077,Nandini Ghosh,16,21,25,100
23cse0078,Bhavana Gupta,23,23,21,86
23cse0079,Kalyani Mehta,20,27,23,88
23cse0080,Anil Kumar,19,8,12,66
23cse0081,Madhuri Prasad,23,25,30,93
23cse0082,Vivek Mehta,22,19,21,62
23cse0083,Siddharth Banerjee,19,18,21,72
23cse0084,Madhuri Raut,23,20,22,73
 23cse0085 ,Raghav Mishra,29,28,28,91
23cse0086,Tejaswi Bose,21,26,30,75
23cse0087,Rukhsar Chowdary,30,29,25,96
23cse0088,Sanjana Trivedi,AB,15,,56
23cse0089,Sandeep Rathore,18,24,18,88
23cse0090,Ishita Menon,21,25,22,60
23cse0091,Aarav Agarwal,30,30,24,100
23cse0092,Jyothi Sinha,18,24,,93
23cse0093,Sagar Trivedi,29,22,27,100
23cse0094,Rekha Rao,22,AB,24,91
